Name,Country,Industry,mvUsd
Alfen Beheer BV,Netherlands,Industrials,32420754
Alfresa Holdings Corp,Japan,Health Care,35392836
Algonquin Power & Utilities Corp,Canada,Utilities,107310885
Ali Alghanim Sons Automotive Co KSCC,Kuwait,Consumer Discretionary,10679921
Aliansce Sonae Shopping Centers sa,Brazil,Real Estate,34389489
Alibaba Group Holding Ltd,China,Consumer Discretionary,3231449203
Alibaba Health Information Technology Ltd,China,Consumer Staples,51284140
Alibaba Pictures Group Ltd,China,Consumer Discretionary,24696750
Alicorp SAA,Peru,Consumer Staples,4440560
Alight Inc,United States,Industrials,23010524
Align Technology Inc,United States,Health Care,146578031
Alignment Healthcare Inc,United States,Health Care,11601075
Alimentation Couche-Tard Inc,Canada,Consumer Discretionary,365487297
Alior Bank SA,Poland,Financials,5307883
Alkane Resources Ltd,Australia,Basic Materials,2214809
Alkem Laboratories Ltd,India,Health Care,39512841
Alkermes PLC,United States,Health Care,44357609
Alkyl Amines Chemicals,India,Basic Materials,7583251
AllDay Marts Inc,Philippines,Consumer Staples,2500148
AllHome Corp,Philippines,Consumer Discretionary,921152
Allegiant Travel Co,United States,Consumer Discretionary,2059485
Allegion plc,United States,Industrials,74460608
Allegro MicroSystems Inc,United States,Technology,19173774
Allegro.eu SA,Poland,Consumer Discretionary,64212675
Alleima AB,Sweden,Basic Materials,16569125
Allfunds Group Plc,Netherlands,Financials,92245962
Alliance Aviation Services Ltd,Australia,Consumer Discretionary,10235299
Alliance Bank Malaysia Bhd,Malaysia,Financials,14591520
Alliance Global Group Inc,Philippines,Industrials,1307350
Allianz Malaysia Bhd,Malaysia,Financials,4783862
Allianz SE,Germany,Financials,1866751514
Allied Properties Real Estate Investment Trust,Canada,Real Estate,23439129
Allied Supreme Corp,Taiwan,Basic Materials,25449816
Allison Transmission Holdings Inc,United States,Industrials,49812339
Allkem Ltd,Australia,Basic Materials,66587044
Allogene Therapeutics Inc,United States,Health Care,5560027
Allot Ltd,Israel,Technology,14273
Allreal Holding AG,Switzerland,Real Estate,60630772
Allscripts Healthcare Solutions Inc,United States,Technology,4251328
Allstate Corp/The,United States,Financials,182341320
Ally Financial Inc,United States,Financials,1721622
Alm Brand A/S,Denmark,Financials,13286725
Almawave SpA,Italy,Technology,2426286
Almendral SA,Chile,Utilities,6118756
Almirall SA,Spain,Health Care,14397843
Alnylam Pharmaceuticals Inc,United States,Health Care,241827412
Alok Industries Ltd,India,Basic Materials,601269
Alony Hetz Properties & Investments Ltd,Israel,Real Estate,1365118
Alpargatas SA,Brazil,Consumer Discretionary,11579041
Alpek SAB de CV,Mexico,Basic Materials,25901700
Alpen Co Ltd,Japan,Consumer Discretionary,4573701
